Using GPU
Loading...

Creating new model 
Epoch: 0
Training: 4.523986849959915
Validation: 4.357167705091771
Epoch: 1
Training: 4.359593735745195
Validation: 4.409869860115277
Epoch: 2
Training: 4.3394907798301015
Validation: 4.0783113830193445
Epoch: 3
Training: 4.101793194679406
Validation: 4.09122094749673
Epoch: 4
Training: 3.9551206801682017
Validation: 3.993270428110807
Epoch: 5
Training: 4.045894423043688
Validation: 4.037134463182154
Epoch: 6
Training: 4.049092974289202
Validation: 4.030436407451757
Epoch: 7
Training: 3.9134423123292605
Validation: 4.04767820002483
Epoch: 8
Training: 4.023225008136
Validation: 4.124308965321815
Epoch: 9
Training: 4.049147399583286
Validation: 4.189430384211488
Epoch: 10
Training: 4.068486510005795
Validation: 3.919958480385271
Epoch: 11
Training: 3.967385609056417
Validation: 4.044329385104876
Epoch: 12
Training: 4.058868957169187
Validation: 4.040244940691788
Epoch: 13
Training: 4.004817080367812
Validation: 4.061073998722189
Epoch: 14
Training: 4.145683493736478
Validation: 4.144962843766095
Epoch: 15
Training: 4.094455750573279
Validation: 4.056890676329356
Epoch: 16
Training: 4.092256439808484
Validation: 4.008780380116722
Epoch: 17
Training: 4.020047623132777
Validation: 4.041069527681825
Epoch: 18
Training: 3.9792091933495586
Validation: 3.846067420360784
Epoch: 19
Training: 4.069525756715749
Validation: 3.937014318469153
Epoch: 20
Training: 4.120740989827473
Validation: 3.8755420696163934
Epoch: 21
Training: 4.0400318808856905
Validation: 4.124912202374175
Epoch: 22
Training: 4.042865020481455
Validation: 3.975212540302377
Epoch: 23
Training: 3.951177335365819
Validation: 3.904149299348748
Epoch: 24
Training: 3.79940455830753
Validation: 3.8629745912867564
Epoch: 25
Training: 3.995100460291612
Validation: 3.9300193703749473
Epoch: 26
Training: 4.070576889541977
Validation: 3.984287424429286
Epoch: 27
Training: 4.135568583300252
Validation: 4.106532978101504
Epoch: 28
Training: 3.9716357977110643
Validation: 3.9649558500107327
Epoch: 29
Training: 4.007238362121528
Epoch    30: reducing learning rate of group 0 to 1.0000e-04.
Validation: 3.989682731767225
Epoch: 30
Training: 4.081359565988828
Validation: 3.879512703104928
Epoch: 31
Training: 3.9898831777379478
Validation: 3.8908544984758047
Epoch: 32
Training: 3.9995262837936343
Validation: 3.771676667159026
Epoch: 33
Training: 3.8517193116293775
Validation: 3.921225334178978
Epoch: 34
Training: 4.074992605776502
Validation: 3.8602043059922453
Epoch: 35
Training: 3.997778955579218
Validation: 3.880180944231649
Epoch: 36
Training: 3.96953679271644
Validation: 3.886532058557993
Epoch: 37
Training: 3.8679727297577817
Validation: 3.9572636027971844
Epoch: 38
Training: 3.9352908071457082
Validation: 3.739291304110325
Epoch: 39
Training: 3.9851577319052875
Validation: 3.9286446828433297
Epoch: 40
Training: 3.8474967606900723
Validation: 3.974867404820521
Epoch: 41
Training: 3.958282179801706
Validation: 4.008766391991681
Epoch: 42
Training: 4.012456585877759
Validation: 3.938579467811322
Epoch: 43
Training: 3.8646644439683584
Validation: 3.9183378551135353
Epoch: 44
Training: 3.781726210127098
Validation: 3.8276912358334685
Epoch: 45
Training: 3.7804330044065853
Validation: 3.820009590427987
Epoch: 46
Training: 3.963957818196751
Validation: 3.747263538760247
Epoch: 47
Training: 3.78904468263221
Validation: 3.8698759701048715
Epoch: 48
Training: 3.8741646327765826
Validation: 3.9961718484498934
Epoch: 49
Training: 3.937257188364452
Epoch    50: reducing learning rate of group 0 to 1.0000e-05.
Validation: 3.7780835139136535
Traceback (most recent call last):
  File "train.py", line 138, in <module>
    main()
  File "train.py", line 134, in main
    diff = output-truth
ValueError: operands could not be broadcast together with shapes (82,82) (100,100) 
